Plant Name,Scientific Name,Common Names,Parts Used,Uses
Stinkwood,Ocotea bullata,Stinkwood,Bark,"Used for coughs, respiratory issues"
Baobab,Adansonia digitata,Baobab,Fruits,"Nutrient-rich, boosts immunity"
Bushveld Grape,Rhoicissus tomentosa,Bushveld grape,"Leaves, stems","Boosts vitality, used for skin conditions"
African Baobab,Adansonia digitata,African baobab,Fruits,Used to treat diarrhea
Cape Ash,Ekebergia capensis,Cape ash,Bark,"Used for coughs, fever"
Forest Fever Tree,Anthocleista grandiflora,Forest fever tree,"Bark, leaves","Used for malaria, fever"
Sand Olive,Dodonaea angustifolia,Sand olive,Leaves,"Treats wounds, burns"
Num-Num,Carissa bispinosa,Num-num,Fruits,Treats skin infections
Transvaal Red Milkwood,Mimusops zeyheri,Transvaal red milkwood,"Fruits, seeds","Rich in nutrients, boosts immune system"
Bush Violet,Barleria elegans,Bush violet,Flowers,Used for inflammation
Wild Olive,Olea europaea subsp. africana,Wild olive,Fruits,"Treats diarrhea, respiratory issues"
Red Star Apple,Diospyros lycioides,Red star apple,Fruits,Treats constipation
Wild Banana,Ensete ventricosum,Wild banana,Stem,Used for stomach problems
Sour Plum,Harpephyllum caffrum,Sour plum,Fruits,Treats digestive issues
Cape Willow,Salix mucronata,Cape willow,Bark,"Used for colds, flu"
Yellowwood,Podocarpus falcatus,Yellowwood,Bark,Used for respiratory problems
Guarri,Euclea undulata,Guarri,Leaves,Treats skin conditions
Cape Chestnut,Calodendrum capense,Cape chestnut,Bark,Treats stomach issues
Spiny Cucumber,Cucumis metuliferus,Spiny cucumber,Fruits,Used for skin ailments
River Pumpkin,Gunnera perpensa,River pumpkin,"Leaves, roots",Used for respiratory problems
Sourberry,Grewia occidentalis,Sourberry,Fruits,Treats digestive issues
Hottentot Fig,Carpobrotus acinaciformis,Hottentot fig,Fruits,Treats skin irritations
Cape Marigold,Arctotis stoechadifolia,Cape marigold,Flowers,Used for sore throat
Bush Clover,Lespedeza bicolor,Bush clover,Leaves,Treats respiratory problems
